name,address,number_,geo_point_2d,latitud,longitud
164_PAVIA 1,Pavía - Columbretes,164,"39.46846028903177,-0.3246342149862025",39.46846028903177,-0.3246342149862025
165_PAVIA 2,Pavía - Espadán,165,"39.471409299035706,-0.3245702116150898",39.471409299035706,-0.3245702116150898
166_PROGRESO,Don Vicente Guillot - Progreso,166,"39.47334930757559,-0.32881122495787873",39.47334930757559,-0.32881122495787873
167_PAVIA 3,Pavía - Acequia de la Cadena,167,"39.474908310742784,-0.3246102088459378",39.474908310742784,-0.3246102088459378
168_AVDA. MALVARROSA,Malvarrosa - Río Tajo,168,"39.47687131828106,-0.32788721869941045",39.47687131828106,-0.32788721869941045
169_PAVIA 4,Pavía (Instituto Isabel de Villena),169,"39.47878532308192,-0.32464520634897104",39.47878532308192,-0.32464520634897104
017_ESTACION RENFE I,Xátiva - Bailén (Estación del Norte),17,"39.46746831099193,-0.3772593951806123",39.46746831099193,-0.3772593951806123
170_PAVIA 5,Isabel de Villena - Mendizábal,170,"39.482973337910934,-0.32533420529241996",39.482973337910934,-0.32533420529241996
171_CALLE GRAN CANARIA,Gran Canaria - Ingeniero Manuel Maese,171,"39.483060339803416,-0.32900821806202085",39.483060339803416,-0.32900821806202085
172_AVENIDA_PIO_XII,Pío XII - Campanar,172,"39.48146236504626,-0.3933454386575609",39.48146236504626,-0.3933454386575609
173_AVENIDA_PIO_XII_34,Pío XII - Monestir de Poblet,173,"39.484541375368174,-0.394678441209281",39.484541375368174,-0.394678441209281
174_CALLE_MONDUBER,Monduber - Peset Aleixandre,174,"39.489438388167024,-0.38664740957644866",39.489438388167024,-0.38664740957644866
175_CALLE_JUAN_XXIII,Juan XXIII - Domingo Gómez,175,"39.49258939642365,-0.38271239433339566",39.49258939642365,-0.38271239433339566
176_CAMINO_DE_MONCADA_52,Cno. Moncada - Pedro Patricio Mey,176,"39.49201739310727,-0.378853381402734",39.49201739310727,-0.378853381402734
177_CALLE_ALCUDIA,Alcudia de Crespins - Pedro Patricio Mey,177,"39.493545396079504,-0.3734883620528129",39.493545396079504,-0.3734883620528129
178_CALLE_REIG_GENOVES,Reig Genovés - Ramón Contreras Mongrell,178,"39.49221639017785,-0.3705063522665271",39.49221639017785,-0.3705063522665271
179_AVENIDA_DE_LA_PLATA_45,Av. de la Plata - Zapadores,179,"39.45547226612543,-0.36642636792637634",39.45547226612543,-0.36642636792637634
018_COLON II,Colón 20-22,18,"39.468191311513856,-0.37312937987373457",39.468191311513856,-0.37312937987373457
180_AVENIDA_DOCTOR_WAKSMAN,Doctor Waksman - Nieves,180,"39.45602126922772,-0.3706833820688013",39.45602126922772,-0.3706833820688013
181_CALLE_DEL_SALINAR,"Zapadores, 23",181,"39.45799927509706,-0.3681913713233589",39.45799927509706,-0.3681913713233589
182_AVDA_AUSIAS_MARCH,Ausias March - Pianista Amparo Iturbi,182,"39.455432269344854,-0.37496539716978367",39.455432269344854,-0.37496539716978367
183_AVDA_AUSIAS_MARCH,Ausias March - Av. de la Plata,183,"39.45262025913349,-0.3722843899417025",39.45262025913349,-0.3722843899417025
184_CALLE_BOMBER_RAMON_DUART,Bombero Ramón Duart - Hermanos Maristas,184,"39.45278225629358,-0.36557036636455215",39.45278225629358,-0.36557036636455215
185_AVDA_AUSIAS_MARCH,Ebanista Caselles - Ausias March,185,"39.45004424948915,-0.3705033850186671",39.45004424948915,-0.3705033850186671
186_CALLE_INGENIERO_JOAQUIN_BENLLOCH,Benifairó de Valldigna - Joaquín Benlloch,186,"39.45039125246078,-0.3740153970137416",39.45039125246078,-0.3740153970137416
187_AVDA_AUSIAS_MARCH,Ángel Villena - Ausias March,187,"39.447960241518516,-0.3688183809361798",39.447960241518516,-0.3688183809361798
188_HOSPITAL_NUEVA_FE,Hospital Nueva Fe (consultas externas),188,"39.44462122517277,-0.3751583239336074",39.44462122517277,-0.3751583239336074
189_HOSPITAL_NUEVA_FE,Hospital Nueva Fe (administración),189,"39.44477922701873,-0.37706532415787625",39.44477922701873,-0.37706532415787625
019_JUAN_LLORENS,Juan Llorens - Quart,19,"39.47436934054566,-0.391590438798602",39.47436934054566,-0.391590438798602
